,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1921-06-30,1078.3055182233602,333.88393816627206,134.42007077222402,0.0
1921-07-31,1906.8564495052804,389.21505640704004,127.79392866969602,0.0
1921-08-31,1472.3344385510402,272.40806421504004,115.13629824307202,0.0
1921-09-30,841.8315323335681,328.16393515468803,78.94736829849602,0.0
1921-10-31,1611.7949080166402,274.39024347648007,50.53990779740161,0.0
1921-11-30,7176.338431810561,3361.7760274022403,80.10835900876802,0.0
1921-12-31,7003.322499133441,1853.0544409804802,166.04998841548803,0.0
1922-01-31,2113.2862611609603,1004.6817170841601,172.42127889868803,0.0
1922-02-28,4992.260054169601,2629.5023745331205,294.32530347724804,0.0
1922-03-31,12714.264119808002,5640.715841126401,592.020311698944,0.0
1922-04-30,11124.273183667201,4919.76892689408,626.2836960752641,0.0
1922-05-31,4259.986401300481,1183.5309201592322,200.25673909862402,0.0
1922-06-30,7717.756538649601,4213.858258202113,683.5686767308802,0.0
1922-07-31,3599.9207072409604,1498.357620569088,398.78615055513603,0.0
1922-08-31,1700.7098063155204,637.8086526382081,268.95340893081607,0.0
1922-09-30,1347.3155608473603,619.2044844272641,233.47240015104003,0.0
1922-10-31,1024.6167770849281,322.16076367718404,152.82602105702404,0.0
1922-11-30,737.6821705681922,237.23854074777603,110.23748378265601,0.0
1922-12-31,977.3559601228801,345.01245887692806,115.27788247603202,0.0
1923-01-31,3948.7842572544005,1005.5312224819202,167.49414759168002,0.0
1923-02-28,2118.1001250816003,856.5846094080001,228.91338784972803,0.0
1923-03-31,12634.976949350403,6869.100646287361,606.0654676085761,0.0
1923-04-30,10141.678606924801,2670.2786336256004,495.51649851340807,0.0
1923-05-31,6751.585732930561,1869.9029647027203,265.83855580569605,0.0
1923-06-30,2213.2447296307205,481.0182730583041,185.50366202419204,0.0
1923-07-31,922.7044462003201,234.40685608857603,178.42445037619203,0.0
1923-08-31,1003.8322116864001,134.50502131200003,149.03156361369602,0.0
1923-09-30,1643.7929446656003,127.36917597081602,83.90281645209602,0.0
1923-10-31,1690.2325730764803,218.43615461068802,68.073699207168,0.0
1923-11-30,2253.1714833254405,276.00430373222406,69.54617522995201,0.0
1923-12-31,7373.423684090881,1656.1107729331202,112.61609889638402,0.0
1924-01-31,8948.40669153792,3277.1086560921603,316.80887967129604,0.0
1924-02-29,1460.0166102835203,740.3439541478401,193.99871600179202,0.0
1924-03-31,4022.4080583936006,3392.0750532556804,187.74069290496004,0.0
1924-04-30,14601.298776698883,7518.972275573761,602.0444753925121,0.0
1924-05-31,9172.676116546561,5259.854254464,388.73367001497604,0.0
1924-06-30,2564.6567958374403,1070.65996964352,169.95771324518404,0.0
1924-07-31,1558.5592364236802,763.4221841203201,138.72423145420802,0.0
1924-08-31,848.7408429020162,283.14014907340805,153.562259068416,0.0
1924-09-30,1349.2977401088,766.9334730977281,135.83591310182402,0.0
1924-10-31,6551.244043292161,1715.8876360888323,124.25432284569602,0.0
1924-11-30,1638.4693775063042,236.36071850342404,128.756701453824,0.0
1924-12-31,2601.18552794112,445.99033382400006,136.60046795980801,0.0
1925-01-31,1144.0006023168003,217.19021336064003,129.861058470912,0.0
1925-02-28,9862.191331061762,6306.444904504321,510.21294189465607,0.0
1925-03-31,7746.356553707521,3209.4313927372805,504.9743252751361,0.0
1925-04-30,6079.060626370561,2109.88823956992,333.28928438784004,0.0
1925-05-31,4304.44385044992,2102.5258594560005,257.79657137356804,0.0
1925-06-30,1673.6672178201602,482.12263007539207,165.25711671091202,0.0
